ZONE_ID,EU_CIRCO,NOM_REGION,CHEF.LIEU_REGION,NOM_DEPARTEMENT,NOM_COMMUNE,CODES_POSTAUX,CODE_INSEE
z1152,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Maurice-de-Rémens,1500,1379
z1153,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Sorlin-en-Bugey,1150,1386
z1154,Sud-Est,Rhône-Alpes,Lyon,Ain,Saint-Vulbas,1150,1390
z1155,Sud-Est,Rhône-Alpes,Lyon,Ain,Samognat,1580,1392
z1156,Sud-Est,Rhône-Alpes,Lyon,Ain,Sault-Brénaz,1150,1396
z1157,Sud-Est,Rhône-Alpes,Lyon,Ain,Serrières-sur-Ain,1450,1404
z1158,Sud-Est,Rhône-Alpes,Lyon,Ain,Sonthonnax-la-Montagne,1580,1410
z1159,Sud-Est,Rhône-Alpes,Lyon,Ain,Souclin,1150,1411
z1160,Sud-Est,Rhône-Alpes,Lyon,Ain,Vaux-en-Bugey,1150,1431
z1161,Sud-Est,Rhône-Alpes,Lyon,Ain,Villebois,1150,1444
z1162,Sud-Est,Rhône-Alpes,Lyon,Ain,Villieu-Loyes-Mollon,1800,1450
z1163,Sud-Est,Rhône-Alpes,Lyon,Ain,Ambléon,1300,1006
z1164,Sud-Est,Rhône-Alpes,Lyon,Ain,Andert-et-Condon,1300,1009
z1165,Sud-Est,Rhône-Alpes,Lyon,Ain,Anglefort,1350,1010
z1166,Sud-Est,Rhône-Alpes,Lyon,Ain,Aranc,1110,1012
z1167,Sud-Est,Rhône-Alpes,Lyon,Ain,Arandas,1230,1013
z1168,Sud-Est,Rhône-Alpes,Lyon,Ain,Arbignieu,1300,1015
z1169,Sud-Est,Rhône-Alpes,Lyon,Ain,Argis,1230,1017
z1170,Sud-Est,Rhône-Alpes,Lyon,Ain,Armix,1510,1019
z1171,Sud-Est,Rhône-Alpes,Lyon,Ain,Artemare,1510,1022
z1172,Sud-Est,Rhône-Alpes,Lyon,Ain,Bellegarde-sur-Valserine,1200,1033
z1173,Sud-Est,Rhône-Alpes,Lyon,Ain,Belley,1300,1034
